,hs2_name
Machines,26762
Electrical machinery and equipment and parts thereof; sound recorders and reproducers  television image and sound recorders and reproducers  and parts and accessories of such articles.,20171
Optical  photographic  cinematographic  measuring  checking  precision  medical or surgical instruments and apparatus; parts and accessories thereof.,11294
Vehicles other than railway or tramway rolling-stock  and parts and accessories thereof.,6800
Plastics and articles thereof.,5939
Articles of iron or steel.,5546
Organic chemicals.,5191
Iron and steel.,5164
Tools  implements  cutlery  spoons and forks  of base metal; parts thereof of base metal.,3405
Rubber and articles thereof.,3227
Paper and paperboard; articles of paper pulp  of paper or of paperboard.,2743
Man-made filaments; strip and the like of man-made textile materials.,2667
Inorganic chemicals; organic or inorganic compounds of precious metals  of rare-earth metals  of radioactive elements or of isotopes.,2442
Cotton.,2201
Miscellaneous manufactured articles.,2078
Glass and glassware.,1816
Tanning or dyeing extracts; tannins and their derivatives; dyes  pigments and other colouring matter; paints and varnishes; putty and other mastics; inks.,1780
Miscellaneous chemical products.,1775
Man-made staple fibres.,1681
Photographic or cinematographic goods.,1536
